DrugBankID	GeneName
Q14573	ITPR3
Q13315	ATM
P08172	CHRM2
P18545	PDE6G
Q13956	PDE6H
O95069	KCNK2
Q14500	KCNJ12
P07686	HEXB
P54219	SLC18A1
O15392	BIRC5
P60725	rplD
P61177	rplV
Q9H244	P2RY12
P13631	RARG
P10826	RARB
P48443	RXRG
P28702	RXRB
P10276	RARA
P00797	REN
P20648	ATP4A
Q13621	SLC12A1
P35367	HRH1
P28221	HTR1D
P28222	HTR1B
P30939	HTR1F
P08908	HTR1A
P28566	HTR1E
P41595	HTR2B
P34969	HTR7
P48048	KCNJ1
P43702	parC
P43700	gyrA
P11388	TOP2A
O90777	HIV-1
Q14654	KCNJ11
Q72874	pol
Q92769	HDAC2
O15554	KCNN4
Q09470	KCNA1
P98194	ATP2C1
P30049	ATP5F1D
Q8XJ01	pbpA
O00555	CACNA1A
P24046	GABRR1
P28476	GABRR2
A8MPY1	GABRR3
P00915	CA1
P00918	CA2
P22748	CA4
O15111	CHUK
Q9NZK7	PLA2G2E
P9WNC7	folK
Q72547	pol
Q04782	ERG7
P23921	RRM1
P31350	RRM2
Q7LG56	RRM2B
P09884	POLA1
Q07864	POLE
P56282	POLE2
Q9NRF9	POLE3
Q9NR33	POLE4
P00491	PNP
Q15858	SCN9A
O14920	IKBKB
P05164	MPO
P9WJI5	nat
P28223	HTR2A
P21728	DRD1
P21918	DRD5
P35462	DRD3
P21917	DRD4
P46098	HTR3A
P50406	HTR6
P08173	CHRM4
P08912	CHRM5
P0C0X2	folP2
P0C0X1	folP1
P35498	SCN1A
Q07699	SCN1B
Q9NY46	SCN3A
P0A7X3	rpsI
P0A7V8	rpsD
P61769	B2M
P03372	ESR1
Q92731	ESR2
O95718	ESRRB
Q15596	NCOA2
P10275	AR
Q14994	NR1I3
P0AC13	folP
P0A6J8	ddlA
Q9L888	alr
Q08257	CRYZ
P0AD68	ftsI
Q13936	CACNA1C
P54289	CACNA2D1
Q08289	CACNB2
O95180	CACNA1H
Q9NY47	CACNA2D2
Q01668	CACNA1D
Q13698	CACNA1S
P25021	HRH2
P07451	CA3
C1KC03	mecA
P02918	mrcA
P02919	mrcB
P0AEB2	dacA
P08506	dacC
P02763	ORM1
P29275	ADORA2B
Q99829	CPNE1
Q8TCT9	HM13
Q15155	NOMO1
P09874	PARP1
Q7Z5B4	RIC3
Q9Y4R7	TTLL3
P10827	THRA
P10828	THRB
P12004	PCNA
Q9NZV8	KCND2
Q9UK17	KCND3
P19652	ORM2
Q9Y5Y9	SCN10A
P35499	SCN4A
P14324	FDPS
O43451	MGAM
P04746	AMY2A
P10253	GAA
P14410	SI
P43088	PTGFR
P04083	ANXA1
P18858	LIG1
P49916	LIG3
P04818	TYMS
P06401	PGR
Q9Y6Y9	LY96
P34995	PTGER1
P04293	UL30
P06478	TK
P44469	mrdA
P0AD65	mrdA
P45059	ftsI
P24228	dacB
Q02641	CACNB1
Q06432	CACNG1
O00180	KCNK1
Q9Y257	KCNK6
Q9H252	KCNH6
Q9NS40	KCNH7
Q9H4B7	TUBB1
P43166	CA7
Q9UKV0	HDAC9
Q9UI33	SCN11A
Q99250	SCN2A
Q01118	SCN7A
Q9UQD0	SCN8A
O60939	SCN2B
Q9NY72	SCN3B
Q8IWT1	SCN4B
O00519	FAAH
Q75Y35	pbp3
P0A3M6	penA
Q8DNB6	pbp2a
Q7CRA4	pbp1b
P04629	NTRK1
Q16620	NTRK2
O43526	KCNQ2
Q9H3N8	HRH4
Q99720	SIGMAR1
O43525	KCNQ3
P16066	NPR1
P14555	PLA2G2A
Q8N8N7	PTGR2
Q9Y5Y4	PTGDR2
P9WNL5	embC
P9WNL7	embB
P9WNL9	embA
P47898	HTR5A
P07003	poxB
P06715	gor
P61889	mdh
P77390	citC
P42345	MTOR
P62942	FKBP1A
P35869	AHR
O43497	CACNA1G
P32754	HPD
P42971	pbpC
P05193	ampC
Q12791	KCNMA1
P05108	CYP11A1
P69905	HBA1
P69905	HBA2
P17752	TPH1
P07437	TUBB
A2QLK4	fksA
Q9NYX4	CALY
P09038	FGF2
P01133	EGF
P02675	FGB
P02679	FGG
P18405	SRD5A1
P08546	UL54
Q9Y5N1	HRH3
P00720	E
P43119	PTGIR
Q02880	TOP2B
Q00975	CACNA1B
Q8IZS8	CACNA2D3
Q6TME4	CACNB1
P17405	SMPD1
P51170	SCNN1G
P37088	SCNN1A
P51168	SCNN1B
P51172	SCNN1D
P07202	TPO
P05023	ATP1A1
O60840	CACNA1F
P54284	CACNB3
O00305	CACNB4
P08235	NR3C2
P15056	BRAF
P04049	RAF1
P35916	FLT4
P35968	KDR
P36888	FLT3
P10721	KIT
P07949	RET
P17948	FLT1
O95749	GGPS1
P10875	TUB2
P87066	TUB1
Q99456	KRT12
P32238	CCKAR
P01008	SERPINC1
P05546	SERPIND1
P41972	ileS
Q8DR59	pbpA
P46059	SLC15A1
Q16348	SLC15A2
Q02763	TEK
Q53707	mecA
Q16739	UGCG
P19099	CYP11B2
P31213	SRD5A2
Q9H8P0	SRD5A3
Q9P0X4	CACNA1I
P09252	ORF28
P11168	SLC2A2
Q89ZI2	BT_4395
O60502	OGA
Q07806	mrcA
Q9X6W0	ponB
P33402	GUCY1A2
P04731	MT1A
P14902	IDO1
P55017	SLC12A3
P47989	XDH
Q9X6V3	pbpA
P72161	pbpG
P30085	CMPK1
O14646	CHD1
P0ADY7	rplP
P24093	draA
P08174	CD55
P10636	MAPT
